id;Postcode4;Gemeentenaam;WijkenEnBuurten
1;1011;Amsterdam;9
2;1012;Amsterdam;13
3;1013;Amsterdam;14
4;1014;Amsterdam;6
5;1015;Amsterdam;7
6;1016;Amsterdam;8
7;1017;Amsterdam;15
8;1018;Amsterdam;11
9;1019;Amsterdam;12
10;1021;Amsterdam;3
11;1022;Amsterdam;4
12;1023;Amsterdam;7
13;1024;Amsterdam;6
14;1025;Amsterdam;11
15;1026;Amsterdam;3
16;1027;Amsterdam;3
17;1028;Amsterdam;2
18;1031;Amsterdam;3
19;1032;Amsterdam;3
20;1033;Amsterdam;6
21;1034;Amsterdam;7
22;1035;Amsterdam;6
23;1036;Amsterdam;1
24;1037;Amsterdam;1
25;1041;Amsterdam;1
26;1042;Amsterdam;2
27;1043;Amsterdam;5
28;1045;Amsterdam;1
29;1046;Amsterdam;2
30;1047;Amsterdam;2
31;1051;Amsterdam;8
32;1052;Amsterdam;5
33;1053;Amsterdam;6
34;1054;Amsterdam;7
35;1055;Amsterdam;6
36;1056;Amsterdam;10
37;1057;Amsterdam;9
38;1058;Amsterdam;7
39;1059;Amsterdam;4
40;1060;Amsterdam;3
41;1061;Amsterdam;5
42;1062;Amsterdam;6
43;1063;Amsterdam;3
44;1064;Amsterdam;6
45;1065;Amsterdam;4
46;1066;Amsterdam;12
47;1067;Amsterdam;9
48;1068;Amsterdam;5
49;1069;Amsterdam;7
50;1071;Amsterdam;10
51;1072;Amsterdam;4
52;1073;Amsterdam;5
53;1074;Amsterdam;3
54;1075;Amsterdam;7
55;1076;Amsterdam;5
56;1077;Amsterdam;9
57;1078;Amsterdam;6
58;1079;Amsterdam;8
59;1081;Amsterdam;5
60;1082;Amsterdam;3
61;1083;Amsterdam;5
62;1086;Amsterdam;2
63;1087;Amsterdam;8
64;1091;Amsterdam;6
65;1092;Amsterdam;3
66;1093;Amsterdam;3
67;1094;Amsterdam;3
68;1095;Amsterdam;10
69;1096;Amsterdam;7
70;1097;Amsterdam;11
71;1098;Amsterdam;9
72;1101;Amsterdam;3
73;1102;Amsterdam;11
74;1103;Amsterdam;6
75;1104;Amsterdam;8
76;1105;Amsterdam;4
77;1106;Amsterdam;6
78;1107;Amsterdam;5
79;1108;Amsterdam;3
80;1109;Amsterdam;2
81;1111;Diemen;15
82;1112;Diemen;17
83;1113;Diemen;2
84;1114;Ouder-Amstel;2
85;1115;Ouder-Amstel;1
86;1118;Haarlemmermeer;1
87;1119;Haarlemmermeer;1
88;1121;Landsmeer;5
89;1127;Landsmeer;1
90;1131;Edam-Volendam;5
91;1132;Edam-Volendam;6
92;1135;Edam-Volendam;7
93;1141;Waterland;9
94;1145;Waterland;1
95;1151;Waterland;1
96;1153;Waterland;1
97;1154;Waterland;1
98;1156;Waterland;2
99;1161;Haarlemmermeer;8
100;1165;Haarlemmermeer;2
101;1171;Haarlemmermeer;12
102;1175;Haarlemmermeer;2
103;1181;Amstelveen;7
104;1182;Amstelveen;4
105;1183;Amstelveen;7
106;1184;Amstelveen;1
107;1185;Amstelveen;6
108;1186;Amstelveen;7
109;1187;Amstelveen;11
110;1188;Amstelveen;3
111;1189;Amstelveen;1
112;1191;Ouder-Amstel;4
113;1211;Hilversum;4
114;1212;Hilversum;1
115;1213;Hilversum;8
116;1214;Hilversum;2
117;1215;Hilversum;3
118;1216;Hilversum;4
119;1217;Hilversum;7
120;1218;Hilversum;2
121;1221;Hilversum;3
122;1222;Hilversum;5
123;1223;Hilversum;4
124;1231;Wijdemeren;4
125;1241;Wijdemeren;4
126;1243;Wijdemeren;1
127;1244;Wijdemeren;3
128;1251;Laren;9
129;1252;Laren;1
130;1261;Blaricum;8
131;1271;Huizen;5
132;1272;Huizen;12
133;1273;Huizen;3
134;1274;Huizen;4
135;1275;Huizen;2
136;1276;Huizen;3
137;1277;Huizen;1
138;1309;Almere;1
139;1311;Almere;1
140;1312;Almere;1
141;1313;Almere;1
142;1314;Almere;3
143;1315;Almere;1
144;1317;Almere;1
145;1318;Almere;2
146;1319;Almere;1
147;1321;Almere;1
148;1322;Almere;1
149;1323;Almere;1
150;1324;Almere;2
151;1325;Almere;1
152;1326;Almere;2
153;1327;Almere;1
154;1328;Almere;1
155;1329;Almere;1
156;1331;Almere;1
157;1332;Almere;1
158;1333;Almere;4
159;1334;Almere;1
160;1335;Almere;3
161;1336;Almere;2
162;1338;Almere;2
163;1339;Almere;2
164;1341;Almere;2
165;1343;Almere;1
166;1349;Almere;1
167;1351;Almere;3
168;1353;Almere;2
169;1354;Almere;1
170;1355;Almere;1
171;1356;Almere;1
172;1357;Almere;2
173;1358;Almere;2
174;1359;Almere;2
175;1361;Almere;2
176;1362;Almere;4
177;1363;Almere;3
178;1364;Almere;1
179;1381;Weesp;6
180;1382;Weesp;10
181;1383;Weesp;2
182;1384;Weesp;1
183;1391;De Ronde Venen;3
184;1393;Stichtse Vecht;4
185;1394;Wijdemeren;4
186;1396;De Ronde Venen;2
187;1398;Gooise Meren;5
188;1399;Gooise Meren;3
189;1401;Gooise Meren;5
190;1402;Gooise Meren;10
191;1403;Gooise Meren;5
192;1404;Gooise Meren;3
193;1405;Gooise Meren;3
194;1406;Gooise Meren;5
195;1411;Gooise Meren;11
196;1412;Gooise Meren;6
197;1421;Uithoorn;2
198;1422;Uithoorn;3
199;1423;Uithoorn;1
200;1424;Uithoorn;5
201;1426;De Ronde Venen;2
202;1427;De Ronde Venen;1
203;1431;Aalsmeer;4
204;1432;Aalsmeer;4
205;1433;Aalsmeer;1
206;1435;Haarlemmermeer;4
207;1436;Haarlemmermeer;1
208;1437;Haarlemmermeer;2
209;1438;Haarlemmermeer;1
210;1441;Purmerend;6
211;1442;Purmerend;3
212;1443;Purmerend;3
213;1444;Purmerend;2
214;1445;Purmerend;4
215;1446;Purmerend;2
216;1447;Purmerend;3
217;1448;Purmerend;4
218;1451;Landsmeer;1
219;1452;Waterland;2
220;1454;Waterland;1
221;1456;Wormerland;4
222;1458;Wormerland;1
223;1461;Purmerend;2
224;1462;Purmerend;3
225;1463;Purmerend;3
226;1464;Purmerend;2
227;1471;Edam-Volendam;1
228;1472;Edam-Volendam;1
229;1473;Edam-Volendam;1
230;1474;Edam-Volendam;2
231;1475;Edam-Volendam;1
232;1476;Edam-Volendam;1
233;1477;Edam-Volendam;1
234;1481;Edam-Volendam;1
235;1482;Waterland;1
236;1483;Alkmaar;1
237;1484;Alkmaar;1
238;1485;Alkmaar;1
239;1486;Alkmaar;1
240;1487;Alkmaar;1
241;1488;Alkmaar;1
242;1489;Castricum;1
243;1501;Zaanstad;1
244;1502;Zaanstad;1
245;1503;Zaanstad;2
246;1504;Zaanstad;1
247;1505;Zaanstad;2
248;1506;Zaanstad;7
249;1507;Zaanstad;2
250;1508;Zaanstad;2
251;1509;Zaanstad;2
252;1511;Oostzaan;4
253;1521;Zaanstad;5
254;1525;Zaanstad;1
255;1531;Wormerland;6
256;1534;Wormerland;1
257;1536;Alkmaar;1
258;1541;Zaanstad;2
259;1544;Zaanstad;3
260;1546;Wormerland;2
261;1551;Zaanstad;5
262;1561;Zaanstad;4
263;1562;Zaanstad;4
264;1566;Zaanstad;5
265;1567;Zaanstad;1
266;1601;Enkhuizen;5
267;1602;Enkhuizen;3
268;1606;Drechterland;4
269;1607;Drechterland;3
270;1608;Drechterland;2
271;1611;Stede Broec;4
272;1613;Stede Broec;2
273;1614;Stede Broec;1
274;1616;Drechterland;3
275;1617;Drechterland;3
276;1619;Medemblik;10
277;1621;Hoorn;5
278;1622;Hoorn;8
279;1623;Hoorn;3
280;1624;Hoorn;7
281;1625;Hoorn;12
282;1627;Hoorn;2
283;1628;Hoorn;13
284;1631;Koggenland;2
285;1633;Koggenland;8
286;1634;Koggenland;2
287;1636;Alkmaar;1
288;1641;Koggenland;2
289;1643;Koggenland;1
290;1645;Koggenland;10
291;1646;Alkmaar;1
292;1647;Koggenland;7
293;1648;Koggenland;8
294;1652;Koggenland;3
295;1654;Medemblik;2
296;1655;Medemblik;2
297;1657;Medemblik;2
298;1658;Medemblik;1
299;1661;Opmeer;1
300;1671;Medemblik;10
301;1674;Medemblik;2
302;1676;Medemblik;2
303;1678;Medemblik;2
304;1679;Medemblik;2
305;1681;Medemblik;1
306;1682;Medemblik;1
307;1684;Medemblik;1
308;1685;Medemblik;2
309;1687;Medemblik;9
310;1688;Medemblik;3
311;1689;Hoorn;16
312;1691;Medemblik;1
313;1693;Medemblik;8
314;1695;Hoorn;8
315;1696;Drechterland;1
316;1697;Drechterland;1
317;1701;Dijk en Waard;5
318;1702;Dijk en Waard;7
319;1703;Dijk en Waard;9
320;1704;Dijk en Waard;9
321;1705;Dijk en Waard;7
322;1706;Dijk en Waard;2
323;1711;Koggenland;3
324;1713;Koggenland;13
325;1715;Opmeer;4
326;1716;Opmeer;2
327;1718;Opmeer;3
328;1719;Opmeer;1
329;1721;Dijk en Waard;1
330;1722;Dijk en Waard;1
331;1723;Dijk en Waard;1
332;1724;Dijk en Waard;2
333;1731;Hollands Kroon;2
334;1732;Hollands Kroon;3
335;1733;Hollands Kroon;3
336;1734;Hollands Kroon;1
337;1735;Hollands Kroon;5
338;1736;Hollands Kroon;1
339;1738;Schagen;2
340;1741;Schagen;10
341;1742;Schagen;9
342;1744;Schagen;7
343;1746;Schagen;3
344;1747;Schagen;4
345;1749;Schagen;10
346;1751;Schagen;4
347;1752;Schagen;2
348;1753;Schagen;4
349;1754;Schagen;3
350;1755;Schagen;6
351;1756;Schagen;5
352;1757;Schagen;2
353;1759;Schagen;6
354;1761;Hollands Kroon;3
355;1764;Hollands Kroon;2
356;1766;Hollands Kroon;3
357;1767;Hollands Kroon;2
358;1768;Hollands Kroon;2
359;1769;Hollands Kroon;2
360;1771;Hollands Kroon;4
361;1773;Hollands Kroon;1
362;1774;Hollands Kroon;2
363;1775;Hollands Kroon;2
364;1777;Hollands Kroon;5
365;1778;Hollands Kroon;2
366;1779;Hollands Kroon;3
367;1781;Den Helder;10
368;1782;Den Helder;9
369;1783;Den Helder;4
370;1784;Den Helder;11
371;1785;Den Helder;10
372;1786;Den Helder;4
373;1787;Den Helder;7
374;1788;Den Helder;9
375;1789;Den Helder;1
376;1791;Texel;2
377;1792;Texel;1
378;1793;Texel;2
379;1794;Texel;2
380;1795;Texel;2
381;1796;Texel;2
382;1797;Texel;2
383;1811;Alkmaar;2
384;1812;Alkmaar;2
385;1813;Alkmaar;4
386;1814;Alkmaar;6
387;1815;Alkmaar;5
388;1816;Alkmaar;3
389;1817;Alkmaar;3
390;1821;Alkmaar;1
391;1822;Alkmaar;4
392;1823;Alkmaar;5
393;1824;Alkmaar;4
394;1825;Alkmaar;3
395;1826;Alkmaar;2
396;1827;Alkmaar;4
397;1829;Alkmaar;2
398;1831;Alkmaar;2
399;1832;Dijk en Waard;1
400;1834;Dijk en Waard;1
401;1841;Alkmaar;1
402;1842;Alkmaar;1
403;1843;Alkmaar;1
404;1844;Alkmaar;1
405;1846;Alkmaar;1
406;1851;Heiloo;13
407;1852;Heiloo;7
408;1861;Bergen (NH.);11
409;1862;Bergen (NH.);7
410;1865;Bergen (NH.);1
411;1871;Bergen (NH.);6
412;1873;Bergen (NH.);1
413;1901;Castricum;9
414;1902;Castricum;4
415;1906;Castricum;3
416;1911;Uitgeest;6
417;1921;Castricum;2
418;1931;Bergen (NH.);4
419;1934;Bergen (NH.);5
420;1935;Bergen (NH.);1
421;1941;Beverwijk;3
422;1942;Beverwijk;2
423;1943;Beverwijk;6
424;1944;Beverwijk;6
425;1945;Beverwijk;4
426;1946;Beverwijk;2
427;1947;Beverwijk;4
428;1948;Beverwijk;7
429;1949;Beverwijk;2
430;1951;Velsen;8
431;1961;Heemskerk;1
432;1962;Heemskerk;5
433;1963;Heemskerk;4
434;1964;Heemskerk;6
435;1965;Heemskerk;4
436;1966;Heemskerk;2
437;1967;Heemskerk;7
438;1968;Heemskerk;3
439;1969;Heemskerk;4
440;1971;Velsen;9
441;1972;Velsen;5
442;1973;Velsen;4
443;1974;Velsen;5
444;1975;Velsen;1
445;1976;Velsen;1
446;1981;Velsen;5
447;1985;Velsen;3
448;1991;Velsen;8
449;1992;Velsen;1
450;2011;Haarlem;6
451;2012;Haarlem;8
452;2013;Haarlem;4
453;2014;Haarlem;5
454;2015;Haarlem;6
455;2021;Haarlem;5
456;2022;Haarlem;5
457;2023;Haarlem;7
458;2024;Haarlem;7
459;2025;Haarlem;8
460;2026;Haarlem;4
461;2031;Haarlem;3
462;2032;Haarlem;4
463;2033;Haarlem;10
464;2034;Haarlem;8
465;2035;Haarlem;6
466;2036;Haarlem;6
467;2037;Haarlem;6
468;2041;Zandvoort;9
469;2042;Zandvoort;8
470;2051;Bloemendaal;4
471;2061;Bloemendaal;6
472;2063;Haarlem;1
473;2064;Haarlemmermeer;3
474;2065;Haarlemmermeer;3
475;2071;Velsen;9
476;2082;Velsen;4
477;2101;Heemstede;3
478;2102;Heemstede;2
479;2103;Heemstede;2
480;2104;Heemstede;2
481;2105;Heemstede;2
482;2106;Heemstede;3
483;2111;Bloemendaal;4
484;2114;Bloemendaal;2
485;2116;Zandvoort;2
486;2121;Bloemendaal;6
487;2131;Haarlemmermeer;6
488;2132;Haarlemmermeer;8
489;2133;Haarlemmermeer;2
490;2134;Haarlemmermeer;5
491;2135;Haarlemmermeer;3
492;2136;Haarlemmermeer;2
493;2141;Haarlemmermeer;4
494;2142;Haarlemmermeer;3
495;2143;Haarlemmermeer;1
496;2144;Haarlemmermeer;2
497;2151;Haarlemmermeer;3
498;2152;Haarlemmermeer;3
499;2153;Haarlemmermeer;5
500;2154;Haarlemmermeer;1
501;2155;Haarlemmermeer;1
502;2156;Haarlemmermeer;1
503;2157;Haarlemmermeer;3
504;2158;Haarlemmermeer;1
505;2159;Kaag en Braassem;1
506;2161;Lisse;13
507;2162;Lisse;6
508;2163;Lisse;3
509;2165;Haarlemmermeer;2
510;2171;Teylingen;16
511;2172;Teylingen;11
512;2181;Hillegom;11
513;2182;Hillegom;11
514;2191;Noordwijk;1
515;2201;Noordwijk;5
516;2202;Noordwijk;3
517;2203;Noordwijk;1
518;2204;Noordwijk;2
519;2211;Noordwijk;4
520;2215;Teylingen;17
521;2216;Teylingen;1
522;2221;Katwijk;7
523;2222;Katwijk;2
524;2223;Katwijk;5
525;2224;Katwijk;5
526;2225;Katwijk;8
527;2231;Katwijk;10
528;2235;Katwijk;5
529;2241;Wassenaar;4
530;2242;Wassenaar;7
531;2243;Wassenaar;3
532;2244;Wassenaar;3
533;2245;Wassenaar;4
534;2251;Voorschoten;6
535;2252;Voorschoten;3
536;2253;Voorschoten;2
537;2254;Voorschoten;1
538;2261;Leidschendam-Voorburg;3
539;2262;Leidschendam-Voorburg;4
540;2263;Leidschendam-Voorburg;3
541;2264;Leidschendam-Voorburg;4
542;2265;Leidschendam-Voorburg;3
543;2266;Leidschendam-Voorburg;5
544;2267;Leidschendam-Voorburg;1
545;2271;Leidschendam-Voorburg;2
546;2272;Leidschendam-Voorburg;8
547;2273;Leidschendam-Voorburg;4
548;2274;Leidschendam-Voorburg;4
549;2275;Leidschendam-Voorburg;2
550;2281;Rijswijk;2
551;2282;Rijswijk;5
552;2283;Rijswijk;4
553;2284;Rijswijk;3
554;2285;Rijswijk;4
555;2286;Rijswijk;4
556;2287;Rijswijk;2
557;2288;Rijswijk;4
558;2289;Rijswijk;4
559;2291;Westland;8
560;2292;Westland;1
561;2295;Westland;3
562;2311;Leiden;5
563;2312;Leiden;10
564;2313;Leiden;5
565;2314;Leiden;3
566;2315;Leiden;2
567;2316;Leiden;3
568;2317;Leiden;5
569;2318;Leiden;1
570;2321;Leiden;4
571;2322;Leiden;1
572;2323;Leiden;1
573;2324;Leiden;3
574;2331;Leiden;4
575;2332;Leiden;2
576;2333;Leiden;3
577;2334;Leiden;2
578;2341;Oegstgeest;3
579;2342;Oegstgeest;2
580;2343;Oegstgeest;7
581;2351;Leiderdorp;4
582;2352;Leiderdorp;5
583;2353;Leiderdorp;7
584;2355;Kaag en Braassem;2
585;2361;Teylingen;6
586;2371;Kaag en Braassem;4
587;2374;Kaag en Braassem;2
588;2375;Kaag en Braassem;1
589;2376;Kaag en Braassem;1
590;2377;Kaag en Braassem;2
591;2381;Zoeterwoude;11
592;2382;Zoeterwoude;8
593;2391;Alphen aan den Rijn;5
594;2394;Alphen aan den Rijn;4
595;2396;Alphen aan den Rijn;4
596;2401;Alphen aan den Rijn;10
597;2402;Alphen aan den Rijn;11
598;2403;Alphen aan den Rijn;7
599;2404;Alphen aan den Rijn;5
600;2405;Alphen aan den Rijn;6
601;2406;Alphen aan den Rijn;6
602;2407;Alphen aan den Rijn;2
603;2408;Alphen aan den Rijn;13
604;2409;Alphen aan den Rijn;1
605;2411;Bodegraven-Reeuwijk;11
606;2412;Bodegraven-Reeuwijk;1
607;2415;Bodegraven-Reeuwijk;2
608;2421;Nieuwkoop;5
609;2431;Nieuwkoop;3
610;2432;Nieuwkoop;1
611;2435;Nieuwkoop;4
612;2441;Nieuwkoop;5
613;2445;Alphen aan den Rijn;4
614;2451;Kaag en Braassem;7
615;2461;Nieuwkoop;7
616;2465;Kaag en Braassem;2
617;2471;Alphen aan den Rijn;3
618;2481;Kaag en Braassem;5
619;2491;'s-Gravenhage;2
620;2492;'s-Gravenhage;2
621;2493;'s-Gravenhage;2
622;2495;'s-Gravenhage;1
623;2496;'s-Gravenhage;5
624;2497;'s-Gravenhage;3
625;2498;'s-Gravenhage;1
626;2511;'s-Gravenhage;1
627;2512;'s-Gravenhage;1
628;2513;'s-Gravenhage;1
629;2514;'s-Gravenhage;2
630;2515;'s-Gravenhage;3
631;2516;'s-Gravenhage;2
632;2517;'s-Gravenhage;3
633;2518;'s-Gravenhage;1
634;2521;'s-Gravenhage;2
635;2522;'s-Gravenhage;1
636;2523;'s-Gravenhage;1
637;2524;'s-Gravenhage;1
638;2525;'s-Gravenhage;2
639;2526;'s-Gravenhage;2
640;2531;'s-Gravenhage;2
641;2532;'s-Gravenhage;1
642;2533;'s-Gravenhage;2
643;2541;'s-Gravenhage;2
644;2542;'s-Gravenhage;1
645;2543;'s-Gravenhage;1
646;2544;'s-Gravenhage;3
647;2545;'s-Gravenhage;1
648;2547;'s-Gravenhage;1
649;2548;'s-Gravenhage;5
650;2551;'s-Gravenhage;3
651;2552;'s-Gravenhage;2
652;2553;'s-Gravenhage;1
653;2554;'s-Gravenhage;1
654;2555;'s-Gravenhage;4
655;2562;'s-Gravenhage;3
656;2563;'s-Gravenhage;1
657;2564;'s-Gravenhage;2
658;2565;'s-Gravenhage;4
659;2566;'s-Gravenhage;1
660;2571;'s-Gravenhage;1
661;2572;'s-Gravenhage;2
662;2573;'s-Gravenhage;2
663;2574;'s-Gravenhage;1
664;2581;'s-Gravenhage;1
665;2582;'s-Gravenhage;1
666;2583;'s-Gravenhage;2
667;2584;'s-Gravenhage;2
668;2585;'s-Gravenhage;2
669;2586;'s-Gravenhage;2
670;2587;'s-Gravenhage;1
671;2591;'s-Gravenhage;1
672;2592;'s-Gravenhage;2
673;2593;'s-Gravenhage;1
674;2594;'s-Gravenhage;2
675;2595;'s-Gravenhage;2
676;2596;'s-Gravenhage;3
677;2597;'s-Gravenhage;6
678;2611;Delft;9
679;2612;Delft;9
680;2613;Delft;9
681;2614;Delft;8
682;2616;Delft;5
683;2622;Delft;5
684;2623;Delft;6
685;2624;Delft;9
686;2625;Delft;11
687;2626;Delft;1
688;2627;Delft;4
689;2628;Delft;10
690;2629;Delft;3
691;2631;Pijnacker-Nootdorp;8
692;2632;Pijnacker-Nootdorp;1
693;2635;Midden-Delfland;2
694;2636;Midden-Delfland;5
695;2641;Pijnacker-Nootdorp;8
696;2642;Pijnacker-Nootdorp;2
697;2643;Pijnacker-Nootdorp;3
698;2645;Pijnacker-Nootdorp;7
699;2651;Lansingerland;18
700;2652;Lansingerland;10
701;2661;Lansingerland;12
702;2662;Lansingerland;3
703;2665;Lansingerland;16
704;2671;Westland;7
705;2672;Westland;3
706;2673;Westland;1
707;2675;Westland;7
708;2676;Westland;4
709;2678;Westland;8
710;2681;Westland;10
711;2684;Westland;1
712;2685;Westland;7
713;2691;Westland;9
714;2692;Westland;2
715;2694;Westland;2
716;2711;Zoetermeer;1
717;2712;Zoetermeer;2
718;2713;Zoetermeer;1
719;2715;Zoetermeer;1
720;2716;Zoetermeer;3
721;2717;Zoetermeer;2
722;2718;Zoetermeer;2
723;2719;Zoetermeer;2
724;2721;Zoetermeer;1
725;2722;Zoetermeer;3
726;2723;Zoetermeer;1
727;2724;Zoetermeer;1
728;2725;Zoetermeer;1
729;2727;Zoetermeer;1
730;2728;Zoetermeer;3
731;2729;Zoetermeer;1
732;2731;Alphen aan den Rijn;4
733;2735;Zoeterwoude;1
734;2741;Waddinxveen;12
735;2742;Waddinxveen;8
736;2743;Waddinxveen;2
737;2751;Zuidplas;7
738;2752;Zuidplas;1
739;2761;Zuidplas;13
740;2771;Alphen aan den Rijn;15
741;2801;Gouda;6
742;2802;Gouda;5
743;2803;Gouda;5
744;2804;Gouda;8
745;2805;Gouda;8
746;2806;Gouda;5
747;2807;Gouda;6
748;2808;Gouda;2
749;2809;Gouda;6
750;2811;Bodegraven-Reeuwijk;16
751;2821;Krimpenerwaard;9
752;2825;Krimpenerwaard;2
753;2831;Krimpenerwaard;1
754;2841;Zuidplas;12
755;2851;Krimpenerwaard;11
756;2855;Krimpenerwaard;2
757;2861;Krimpenerwaard;11
758;2865;Krimpenerwaard;1
759;2871;Krimpenerwaard;5
760;2872;Krimpenerwaard;1
761;2901;Capelle aan den IJssel;11
762;2902;Capelle aan den IJssel;9
763;2903;Capelle aan den IJssel;8
764;2904;Capelle aan den IJssel;9
765;2905;Capelle aan den IJssel;9
766;2906;Capelle aan den IJssel;5
767;2907;Capelle aan den IJssel;11
768;2908;Capelle aan den IJssel;10
769;2909;Capelle aan den IJssel;7
770;2911;Zuidplas;7
771;2912;Zuidplas;5
772;2913;Zuidplas;3
773;2914;Zuidplas;4
774;2921;Krimpen aan den IJssel;1
775;2922;Krimpen aan den IJssel;1
776;2923;Krimpen aan den IJssel;1
777;2924;Krimpen aan den IJssel;1
778;2925;Krimpen aan den IJssel;1
779;2926;Krimpen aan den IJssel;1
780;2931;Krimpenerwaard;10
781;2935;Krimpenerwaard;3
782;2941;Krimpenerwaard;12
783;2951;Alblasserdam;10
784;2952;Alblasserdam;6
785;2953;Alblasserdam;7
786;2954;Alblasserdam;6
787;2957;Molenlanden;7
788;2959;Molenlanden;3
789;2961;Molenlanden;3
790;2964;Molenlanden;8
791;2965;Molenlanden;2
792;2967;Molenlanden;4
793;2968;Molenlanden;1
794;2969;Molenlanden;5
795;2971;Molenlanden;6
796;2973;Molenlanden;6
797;2974;Molenlanden;8
798;2975;Molenlanden;9
799;2977;Molenlanden;4
800;2982;Ridderkerk;2
801;2983;Ridderkerk;1
802;2984;Ridderkerk;2
803;2985;Ridderkerk;1
804;2986;Ridderkerk;1
805;2987;Ridderkerk;1
806;2988;Ridderkerk;3
807;2989;Ridderkerk;1
808;2991;Barendrecht;23
809;2992;Barendrecht;17
810;2993;Barendrecht;19
